2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19193,"state":"CANDIDATE","term":109,"voteFor":"192.168.0.103:8848"}, term: 109

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":17266,"state":"CANDIDATE","term":110,"voteFor":"192.168.0.103:8848"}, term: 110

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15253,"state":"CANDIDATE","term":111,"voteFor":"192.168.0.103:8848"}, term: 111

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15518,"state":"CANDIDATE","term":112,"voteFor":"192.168.0.103:8848"}, term: 112

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19662,"state":"CANDIDATE","term":113,"voteFor":"192.168.0.103:8848"}, term: 113

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19586,"state":"CANDIDATE","term":114,"voteFor":"192.168.0.103:8848"}, term: 114

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":17308,"state":"CANDIDATE","term":115,"voteFor":"192.168.0.103:8848"}, term: 115

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15767,"state":"CANDIDATE","term":116,"voteFor":"192.168.0.103:8848"}, term: 116

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16803,"state":"CANDIDATE","term":117,"voteFor":"192.168.0.103:8848"}, term: 117

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19519,"state":"CANDIDATE","term":118,"voteFor":"192.168.0.103:8848"}, term: 118

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15708,"state":"CANDIDATE","term":119,"voteFor":"192.168.0.103:8848"}, term: 119

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":17581,"state":"CANDIDATE","term":120,"voteFor":"192.168.0.103:8848"}, term: 120

